Recip_County,SVI_CTGY,Metro_status,Census2019
Bacon,1,0,11164.0
Shiawassee,4,0,68122.0
Fannin,2,0,35514.0
Bourbon,2,1,19788.0
Kinney,1,0,3667.0
Hansford,1,0,5399.0
Benson,1,0,6832.0
Foster,4,0,3210.0
Windham,3,0,42222.0
Ingham,2,1,292406.0
Latah,4,0,40108.0
Edgecombe,1,1,51472.0
Dodge,1,0,20605.0
Providence,1,1,638931.0
Pierce,4,1,42754.0
Reeves,1,0,15976.0
Lapeer,4,1,87607.0
Limestone,2,1,98915.0
Monterey,1,1,434061.0
Woodson,3,0,3138.0
Madera,1,1,157327.0
Turner,4,1,8384.0
McCulloch,2,0,7984.0
New Kent,4,1,23091.0
Juab,4,1,12017.0
San Joaquin,1,1,762148.0
Stafford,4,1,152882.0
Kootenai,4,1,165697.0
Audubon,4,0,5496.0
Monona,4,0,8615.0
Roanoke,4,1,94186.0
Cameron Parish,3,1,6973.0
Sussex,1,1,11159.0
Travis,3,1,1273954.0
Herkimer,2,1,61319.0
Stutsman,4,0,20704.0
Grayson,2,0,26427.0
Kleberg,1,0,30680.0
Mercer,4,0,8187.0
Van Buren,2,0,5872.0
Pitkin,4,0,17767.0
Oconto,4,1,37930.0
Hampton city,2,1,134510.0
Irwin,1,0,9416.0
Northampton,1,0,19483.0
Hyde,4,0,1301.0
Greenwood,1,0,70811.0
Dinwiddie,3,1,28544.0
Marquette,3,0,15574.0
Gulf,2,1,13639.0
DeKalb,3,1,12547.0
Eau Claire,4,1,104646.0
Fulton,2,0,53383.0
Candler,1,0,10803.0
Deschutes,4,1,197692.0
Childress,2,0,7306.0
Davidson,2,1,694144.0
Newport News city,1,1,179225.0
Manistee,3,0,24558.0
Grainger,2,1,23320.0
Tillman,1,0,7250.0
Wolfe,1,0,7157.0
Person,1,1,39490.0
Chittenden,4,1,163774.0
Wise,1,0,37383.0
Graves,1,0,37266.0
McMinn,2,0,53794.0
Summit,4,0,42145.0
Charlevoix,4,0,26143.0
Pender,2,1,63060.0
Stearns,3,1,161075.0
Hampshire,2,1,23175.0
Isabela Municipio,3,1,40423.0
Muscogee,1,1,195769.0
Cooke,2,0,41257.0
Barry,2,0,35789.0
Kent,3,0,762.0
Mingo,1,0,23424.0
Park,4,0,29194.0
Sutton,2,0,3776.0
Garfield,4,0,1258.0
Harvey,3,1,34429.0
Humboldt,4,0,9558.0
Kittson,4,0,4298.0
Prowers,1,0,12172.0
Jones,1,0,68098.0
King George,4,0,26836.0
King and Queen,3,0,7025.0
Yakima,1,1,250873.0
Hamblen,1,1,64934.0
Torrance,2,1,15461.0
Tolland,4,1,150721.0
Woodbury,2,1,103107.0
Glades,1,0,13811.0
Lackawanna,2,1,209674.0
Alleghany,3,0,14860.0
Mathews,4,1,8834.0
Terry,1,0,12337.0
Maries,2,0,8697.0
Coffey,4,0,8179.0
Gooding,2,0,15179.0
Ohio,4,1,5875.0
Hernando,2,1,193920.0
Chippewa,2,0,37349.0
Bosque,2,0,18685.0
Meigs,3,0,12422.0
Patrick,2,0,17608.0
Trujillo Alto Municipio,4,1,63674.0
Stoddard,3,0,29025.0
Carver,4,1,105089.0
Ouray,4,0,4952.0
Rogers,3,1,92459.0
Gibson,3,0,33659.0
Stephenson,3,0,44498.0
Oakland,4,1,1257584.0
Shenandoah,3,0,43616.0
Santa Fe,2,1,150358.0
Coffee,2,0,52342.0
Gregory,3,0,4185.0
Val Verde,1,0,49025.0
Todd,3,0,24664.0
Queens,2,1,2253858.0
Terrell,3,0,776.0
Hays,3,1,230191.0
Meade,4,1,28332.0
Manatee,2,1,403253.0
Jerome,2,0,24412.0
Tippecanoe,3,1,195732.0
Hill,2,0,16484.0
Licking,4,1,176862.0
Davis,4,1,355481.0
Ware,1,0,35734.0
Dillon,1,0,30479.0
Collier,3,1,384902.0
Chenango,2,0,47207.0
